strategy,subset,precision,recall,f1,avg_reads,n
Random (1),all,0.2402,0.0988,0.1400,1.00,1499
Random (1),gold=2,0.2066,0.1033,0.1378,1.00,1176
Random (1),gold=4,0.3622,0.0906,0.1449,1.00,323
Random (2),all,0.2538,0.2088,0.2291,2.00,1499
Random (2),gold=2,0.2058,0.2058,0.2058,2.00,1176
Random (2),gold=4,0.4288,0.2144,0.2859,2.00,323
Random (3),all,0.2390,0.2950,0.2641,3.00,1499
Random (3),gold=2,0.1978,0.2968,0.2374,3.00,1176
Random (3),gold=4,0.3891,0.2918,0.3335,3.00,323
Random (4),all,0.2430,0.3998,0.3023,4.00,1499
Random (4),gold=2,0.2024,0.4048,0.2698,4.00,1176
Random (4),gold=4,0.3909,0.3909,0.3909,4.00,323
Random (5),all,0.2436,0.5011,0.3279,5.00,1499
Random (5),gold=2,0.1976,0.4940,0.2823,5.00,1176
Random (5),gold=4,0.4111,0.5139,0.4568,5.00,323
Random (6),all,0.2392,0.5903,0.3404,6.00,1499
Random (6),gold=2,0.1943,0.5829,0.2915,6.00,1176
Random (6),gold=4,0.4025,0.6037,0.4830,6.00,323
Random (7),all,0.2472,0.7119,0.3670,7.00,1499
Random (7),gold=2,0.2029,0.7100,0.3156,7.00,1176
Random (7),gold=4,0.4087,0.7152,0.5201,7.00,323
Greedy (1),all,0.6484,0.2667,0.3780,1.00,1499
Greedy (1),gold=2,0.6190,0.3095,0.4127,1.00,1176
Greedy (1),gold=4,0.7554,0.1889,0.3022,1.00,323
Greedy (2),all,0.4940,0.4064,0.4460,2.00,1499
Greedy (2),gold=2,0.4592,0.4592,0.4592,2.00,1176
Greedy (2),gold=4,0.6207,0.3104,0.4138,2.00,323
Greedy (3),all,0.4136,0.5104,0.4569,3.00,1499
Greedy (3),gold=2,0.3750,0.5625,0.4500,3.00,1176
Greedy (3),gold=4,0.5542,0.4156,0.4750,3.00,323
Greedy (4),all,0.3644,0.5996,0.4533,4.00,1499
Greedy (4),gold=2,0.3263,0.6526,0.4351,4.00,1176
Greedy (4),gold=4,0.5031,0.5031,0.5031,4.00,323
Greedy (5),all,0.3191,0.6564,0.4295,5.00,1499
Greedy (5),gold=2,0.2811,0.7028,0.4016,5.00,1176
Greedy (5),gold=4,0.4576,0.5720,0.5084,5.00,323
Greedy (6),all,0.2916,0.7198,0.4151,6.00,1499
Greedy (6),gold=2,0.2526,0.7577,0.3788,6.00,1176
Greedy (6),gold=4,0.4340,0.6509,0.5207,6.00,323
Greedy (7),all,0.2703,0.7783,0.4012,7.00,1499
Greedy (7),gold=2,0.2301,0.8053,0.3579,7.00,1176
Greedy (7),gold=4,0.4166,0.7291,0.5303,7.00,323
BC-only,all,0.6651,0.6534,0.6592,2.39,1499
BC-only,gold=2,0.6185,0.6237,0.6211,2.02,1176
BC-only,gold=4,0.7566,0.7074,0.7312,3.74,323
SFT+DPO,all,0.4506,0.6973,0.5475,3.76,1499
SFT+DPO,gold=2,0.3910,0.6807,0.4967,3.48,1176
SFT+DPO,gold=4,0.6088,0.7276,0.6629,4.78,323
PPO (ours),all,0.6725,0.6548,0.6635,2.37,1499
PPO (ours),gold=2,0.6342,0.6390,0.6366,2.02,1176
PPO (ours),gold=4,0.7496,0.6834,0.7150,3.65,323
